subject_id,practice_trial,trial,transition,reward,choice_1,choice_2,rt_1,rt_2,state
sub1,real,1,common,1,1,1,1131.4799999818206,1457.620000001043,2
sub1,real,2,common,0,1,1,638.9999999664724,483.5899998433888,2
sub1,real,3,rare,0,2,1,264.19000001624227,718.1949999649078,2
sub1,real,4,common,1,2,2,302.26499983109534,1507.2250000666827,3
sub1,real,5,rare,1,2,2,321.68499985709786,1751.1950000189245,2
sub1,real,6,rare,0,1,2,267.4899999983609,1042.6900000311434,3
sub1,real,7,common,0,1,1,17.32999994419515,432.2399999946356,2
sub1,real,8,common,0,2,1,312.28499999269843,1247.9650001041591,3
sub1,real,9,common,1,1,2,281.8799999076873,1098.699999973178,2
sub1,real,10,common,1,1,2,263.55000003241,554.3850001413375,2
sub1,real,11,rare,0,1,2,433.8150001130998,1334.8600000608712,3
sub1,real,12,common,0,1,2,352.5000000372529,753.2200000714511,2
sub1,real,13,rare,0,2,2,541.8599999975413,1374.0049998741597,2
sub1,real,14,common,0,1,1,273.30999984405935,1316.530000185594,2
sub1,real,15,common,0,2,2,321.76500000059605,1042.0050001703205,3
sub1,real,16,common,0,2,1,277.765000006184,622.1099998801947,3
sub1,real,17,common,1,1,2,404.8149997834116,758.0500000622123,2
sub1,real,18,common,0,1,2,309.8649999592453,473.93500013276935,2
sub1,real,19,common,0,1,1,308.930000057444,478.0899998731911,2
sub1,real,20,common,0,1,2,277.8900000266731,422.34999989159405,2
sub1,real,21,common,1,2,2,722.150000045076,925.6049999967216,3
sub1,real,22,rare,1,2,2,438.6400000657886,551.1799999512732,2
sub1,real,23,common,0,2,2,547.9150000028312,547.8550000116229,3
sub1,real,24,common,0,1,2,282.6050000730902,475.1299999188632,2
sub1,real,25,common,1,2,2,422.9399999603629,325.4999998025596,3
sub1,real,26,common,1,2,2,284.41000008024275,381.8099999334663,3
sub1,real,27,rare,1,1,2,307.5749999843538,301.41500011086464,3
sub1,real,28,rare,1,2,2,261.6900000721216,789.2700000666082,2
sub1,real,29,common,1,1,2,315.8050000201911,579.9349998123944,2
sub1,real,30,common,0,1,2,258.75500007532537,386.83999981731176,2
sub1,real,31,common,1,2,2,265.54500008933246,448.43999994918704,3
sub1,real,32,rare,0,2,2,263.52500007487833,360.70499988272786,2
sub1,real,33,rare,0,1,2,1269.4900000933558,340.0099999271333,3
sub1,real,34,common,0,1,2,331.5050001256168,404.27000005729496,2
sub1,real,35,common,0,2,2,843.2550001889467,472.2299999557435,3
sub1,real,36,rare,1,1,2,29.229999985545874,332.16500002890825,3
sub1,real,37,common,1,1,2,504.8149998765439,831.7399998195469,2
sub1,real,38,rare,1,1,2,268.92500021494925,405.9750000014901,3
sub1,real,39,rare,0,1,2,364.2550001386553,508.34499998018146,3
sub1,real,40,common,1,1,2,291.3200000766665,627.1949999500066,2
sub1,real,41,common,0,1,2,142.73000019602478,355.77999986708164,2
sub1,real,42,common,0,1,2,816.080000018701,440.35499985329807,2
sub1,real,43,rare,1,2,2,276.20500000193715,274.34500004164875,2
sub1,real,44,common,0,2,2,308.3399999886751,613.7650001328439,3
sub1,real,45,common,0,1,2,423.5000000335276,683.1749998964369,2
sub1,real,46,common,1,2,2,535.3649999015033,423.4449998475611,3
sub1,real,47,common,1,1,2,344.0849999897182,389.5799999590963,2
sub1,real,48,common,1,1,2,362.4849999323487,375.7949999999255,2
sub1,real,49,rare,0,1,2,284.57999997772276,421.7699998989701,3
sub1,real,50,common,1,2,2,317.85500003024936,857.5800000689924,3
sub1,real,51,rare,0,2,2,955.9400000143796,511.5200001746416,2
sub1,real,52,common,1,2,2,527.4400000926107,587.9250001162291,3
sub1,real,53,rare,0,2,1,318.60000011511147,1221.129999961704,2
sub1,real,54,rare,1,1,2,611.5699999500066,350.73000006377697,3
sub1,real,55,common,1,2,2,390.54000005126,336.6150001529604,3
sub1,real,56,rare,0,2,2,533.2799998577684,940.1750001125038,2
sub1,real,57,common,0,2,2,461.6049998439848,612.6200000289828,3
sub1,real,58,common,0,1,2,296.99499998241663,35.685000009834766,2
sub1,real,59,common,1,2,2,308.54499991983175,280.060000019148,3
sub1,real,60,common,0,2,2,385.72999997995794,386.9349998421967,3
sub1,real,61,rare,1,2,2,275.11500008404255,297.6600001566112,2
sub1,real,62,rare,1,2,2,300.9949999395758,394.05500004068017,2
sub1,real,63,rare,1,2,2,367.1499998308718,280.23499995470047,2
sub1,real,64,common,0,2,2,331.03500003926456,1070.6899999640882,3
sub1,real,65,common,0,1,2,286.6650000214577,359.5699998550117,2
sub1,real,66,common,0,2,2,323.5049999784678,364.1800000332296,3
sub1,real,67,common,1,2,2,459.2450000345707,346.5749998576939,3
sub1,real,68,rare,0,2,2,335.74000000953674,518.9000000245869,2
sub1,real,69,common,0,1,1,214.7499998100102,776.4649998862296,2
sub1,real,70,common,1,2,2,867.7300000563264,339.2649998422712,3
sub1,real,71,rare,0,2,2,622.3549998831004,704.3749999720603,2
sub1,real,72,common,1,2,2,334.6150000579655,611.6100000217557,3
sub1,real,73,common,0,2,2,303.94999985583127,332.5149999000132,3
sub1,real,74,rare,0,2,2,1095.9749999456108,361.03500006720424,2
sub1,real,75,rare,1,1,2,590.0099999271333,762.2950000222772,3
sub1,real,76,common,1,1,2,431.370000122115,859.1750001069158,2
sub1,real,77,common,1,2,2,908.0650000832976,540.8199999947101,3
sub1,real,78,common,0,2,2,310.8850000426173,392.214999999851,3
sub1,real,79,common,1,2,2,326.89999998547137,373.579999897629,3
sub1,real,80,rare,0,2,2,349.22000020742416,776.0350001044571,2
sub1,real,81,rare,0,2,2,350.67999991588295,407.15500013902783,2
sub1,real,82,rare,0,1,2,386.8050000164658,653.4899999387562,3
sub1,real,83,common,1,2,2,294.8900000192225,645.8899998106062,3
sub1,real,84,rare,0,2,2,1984.1299999970945,641.4550000336021,2
sub1,real,85,common,0,1,2,266.9150000438094,490.25000003166497,2
sub1,real,86,rare,0,1,1,700.2549997996539,443.7600001692772,3
sub1,real,87,common,0,2,1,510.49500005319715,428.8999999407679,3
sub1,real,88,common,0,2,2,391.49999991059303,426.19000002741814,3
sub1,real,89,common,1,1,2,162.830000044778,361.8700001388788,2
sub1,real,90,common,0,1,2,260.1099999155849,341.70000022277236,2
sub1,real,91,common,0,1,2,266.1349999252707,345.11999995447695,2
sub1,real,92,common,0,2,2,329.3649998959154,502.1050001960248,3
sub1,real,93,common,0,2,2,560.7949998229742,586.5700000431389,3
sub1,real,94,rare,0,2,1,363.79499989561737,279.5250001363456,2
sub1,real,95,common,0,2,2,393.8400000333786,409.85499997623265,3
sub1,real,96,rare,1,1,2,318.4199999086559,585.5350000783801,3
sub1,real,97,common,1,1,2,264.02000011876225,671.4200000278652,2
sub1,real,98,common,1,1,2,305.4599999450147,375.9749999735504,2
sub1,real,99,rare,0,1,2,569.3900000769645,453.07000004686415,3
sub1,real,100,common,0,2,2,370.060000102967,449.8250000178814,3
sub1,real,101,common,1,1,2,930.0800000783056,408.1250000745058,2
sub1,real,102,common,0,1,2,406.59000002779067,537.779999896884,2
sub1,real,103,common,0,2,2,541.1099998746067,576.935000019148,3
sub1,real,104,rare,0,1,2,299.654999980703,482.48000000603497,3
sub1,real,105,common,0,1,2,364.1049999278039,422.78000013902783,2
sub1,real,106,rare,1,2,2,412.6349999569357,313.70999990031123,2
