subject_id,trials_used,neg_logpost,alpha,beta_mb,beta_mf,beta2,lambda,stickiness,beta1_stage1,w_hybrid,error
sub1,191,158.32071797330062,0.45612996269703987,4.105521874140488,2.7862148711461345,6.510194396009476,0.263273238436123,-0.0382179691778441,6.891736745286623,0.5957165843498484,
sub10,191,262.1628038945113,0.3215101962108671,0.8249712559352225,0.9703851737304052,2.639415209474233,0.01056980465092126,0.0068833801508317175,1.7953564296656277,0.45950277187514654,
sub100,183,233.7187172400266,0.23360125092128795,1.0352648138129938,2.0221030378758296,1.4608648318840876,0.016724577084927902,0.9388823840093113,3.0573678516888236,0.33861310252252963,
sub101,191,149.65747905135237,0.6319492364872137,3.270092510009399,4.588183809024971,1.592894691462555,0.1458749570182067,2.248007197677274,7.8582763190343705,0.416133561260573,
sub102,146,201.39968716597969,0.05846785397123384,1.5946769468343496,4.164085603619842,1.654701156256189,0.058796067614156074,-0.578763108196318,5.7587625504541915,0.27691312723226935,
sub103,177,195.4995552828407,0.030841230775822355,1.641857885962494,0.8206681473565837,1.5291996086105266,0.1997339499121531,2.0597455700144636,2.4625260333190777,0.6667372704886864,
sub104,191,114.59710149453663,0.7451421960592122,6.194651991186495,2.6490238550308747,5.553682069392965,0.013940882918107985,1.7661069297877239,8.84367584621737,0.7004612221100439,
sub105,191,102.52021118680017,0.6291539139505605,2.6938825044484838,1.668616014704724,4.372038437366056,0.0630421094051193,2.658447168840694,4.362498519153208,0.6175090931541188,
sub106,183,236.61391905079194,0.0009265901949263022,2.0034602532771935,1.9700954601941363,1.9294888624836641,0.41588202968879573,1.120133603996459,3.9735557134713297,0.504198354759434,
sub107,190,229.9282885251607,0.5257218761633087,1.1893706946605909,1.106323095047627,2.898906285169571,0.23290766687505574,0.6678351730218088,2.295693789708218,0.5180876909597597,
sub108,191,257.8689912998716,0.4037379973072388,0.2611962628493745,1.2573284942214646,3.4468838828100026,0.08866338999908424,0.5687973660694419,1.5185247570708391,0.17200658838991173,
sub109,190,206.12426058479085,0.2878690714126689,1.9210107453299576,1.3065869250668976,4.97232583070217,0.7182691028434068,0.940946816182236,3.227597670396855,0.5951828392210223,
sub11,180,249.70047050198008,0.06503143826985527,1.1206267866476756,0.8308902343664119,2.667291784119307,0.8473703747401196,-0.3913232597570797,1.9515170210140873,0.5742336728712478,
sub110,187,262.47945421254406,0.013598951362936745,1.4677407937794926,3.9103181399956357,3.1068603461943685,0.14151095205086028,-0.31305100770209465,5.378058933775129,0.2729127389366877,
sub111,189,184.29611373196354,0.6785848447248972,21.01209425827082,1.9157004021792547,3.338224347579672,0.8561198924264934,1.3337199212341786,22.927794660450076,0.916446373035441,
sub112,191,277.6721734281526,0.00409881506199639,7.28423047844556,1.6856762261334783,0.39990350872826724,0.16876857698020228,0.36216062233874335,8.969906704579039,0.8120742743876076,
sub113,188,265.56663756803187,0.006988489446768468,2.0331029987701332,1.9924226208887985,1.987853426077709,0.4043205322940404,0.2891591369544193,4.025525619658932,0.5050528032516635,
sub114,191,86.24751774973626,0.537349306282805,1.9881760660406786,2.0515108914390914,3.6259115003053304,0.4764138620837363,7.0625092692516995,4.03968695747977,0.49216092409324647,
sub115,189,116.74401188250019,0.3756803119440718,4.345628660933279,2.9425884822844735,7.029860017134558,0.23256571058810227,0.8377740772027935,7.288217143217753,0.5962540049972608,
sub116,188,129.61829988138825,0.6375688893259797,7.014367246450488,2.293696347923164,4.575423408964071,0.12137901415723346,1.3623285744896085,9.308063594373651,0.7535796436425714,
sub117,189,180.03541234778655,0.4164653734725478,15.271602239747526,2.127641307576586,4.53167355005092,0.7672677388021186,1.5770292481281944,17.39924354732411,0.877716447741557,
