subject_id,trial,t_index,v_t,rt2_sec,choice2,state,reward
sub1,10,1,0.0,0.5543850001413375,2,2,1.0
sub1,11,2,0.0,1.3348600000608712,2,3,0.0
sub1,12,3,-1.258298176725219,0.7532200000714511,2,2,0.0
sub1,13,4,-0.826435532967438,1.3740049998741597,2,2,0.0
sub1,14,5,-0.5427931970216328,1.316530000185594,1,2,0.0
sub1,15,6,0.0,1.0420050001703205,2,3,0.0
sub1,16,7,0.0,0.6221099998801947,1,3,0.0
sub1,17,8,-0.5427931970216328,0.7580500000622123,2,2,1.0
sub1,18,9,-1.6147984032765543,0.47393500013276935,2,2,0.0
sub1,19,10,-1.0605807142787065,0.4780899998731911,1,2,0.0
sub1,20,11,-1.0605807142787065,0.42234999989159405,2,2,0.0
sub1,21,12,0.0,0.9256049999967216,2,3,1.0
sub1,22,13,-0.6965770149497046,0.5511799999512732,2,2,1.0
sub1,23,14,-1.258298176725219,0.5478550000116229,2,3,0.0
sub1,24,15,-1.71580181715888,0.4751299999188632,2,2,0.0
sub1,25,16,-0.826435532967438,0.3254999998025596,2,3,1.0
sub1,26,17,-1.8010913737468517,0.3818099999334663,2,3,1.0
sub1,27,18,-2.441233936243992,0.30141500011086464,2,3,1.0
sub1,28,19,-1.1269185757867097,0.7892700000666082,2,2,1.0
sub1,29,20,-1.998445123623779,0.5799349998123944,2,2,1.0
sub1,30,21,-2.570853572097822,0.38683999981731176,2,2,0.0
sub1,31,22,-2.8616720880255584,0.44843999994918704,2,3,1.0
sub1,32,23,-1.6885065728755917,0.3607049998827279,2,2,0.0
sub1,33,24,-3.1378109511936967,0.3400099999271333,2,3,0.0
sub1,34,25,-1.1089913784228516,0.40427000005729496,2,2,0.0
sub1,35,26,-2.0608775517340003,0.4722299999557435,2,3,0.0
sub1,36,27,-1.3535602843203118,0.33216500002890825,2,3,1.0
sub1,37,28,-0.728372573238915,0.8317399998195469,2,2,1.0
sub1,38,29,-2.147300748347076,0.4059750000014901,2,3,1.0
sub1,39,30,-2.6686202062938302,0.5083449999801816,2,3,0.0
sub1,40,31,-1.7366847681531572,0.6271949999500066,2,2,1.0
sub1,41,32,-2.398932430603273,0.35577999986708164,2,2,0.0
sub1,42,33,-1.5755907769001158,0.44035499985329807,2,2,0.0
sub1,43,34,-1.034829603611814,0.27434500004164875,2,2,1.0
sub1,44,35,-1.7527185553235762,0.6137650001328439,2,3,0.0
sub1,45,36,-1.9379621632193924,0.6831749998964369,2,2,0.0
sub1,46,37,-1.1511650578566133,0.4234449998475611,2,3,1.0
sub1,47,38,-1.2728308940248088,0.3895799999590963,2,2,1.0
sub1,48,39,-2.0942786285275625,0.3757949999999255,2,2,1.0
sub1,49,40,-2.014369929605916,0.4217699998989701,2,3,0.0
sub1,50,41,-1.3230146217806886,0.8575800000689924,2,3,1.0
sub1,51,42,-2.6337958978249545,0.5115200001746416,2,2,0.0
sub1,52,43,-2.127238714269847,0.5879250001162291,2,3,1.0
sub1,53,44,-1.7298463566173845,1.221129999961704,1,2,0.0
sub1,54,45,-2.6554436968370845,0.35073000006377697,2,3,1.0
sub1,55,46,-3.002362554671,0.3366150001529604,2,3,1.0
sub1,56,47,-1.7298463566173845,0.9401750001125038,2,2,0.0
sub1,57,48,-3.2302148050148674,0.6126200000289828,2,3,0.0
sub1,59,49,-2.1215673227226945,0.280060000019148,2,3,1.0
sub1,60,50,-2.651718793167482,0.3869349998421967,2,3,0.0
sub1,61,51,-1.1361428651223893,0.2976600001566112,2,2,1.0
sub1,62,52,-2.004503529027511,0.39405500004068017,2,2,1.0
sub1,63,53,-2.574832661944234,0.28023499995470047,2,2,1.0
sub1,64,54,-1.7416179047597102,1.0706899999640882,2,3,0.0
sub1,65,55,-2.9494181692963735,0.3595699998550117,2,2,0.0
sub1,66,56,-1.1438742803328712,0.3641800000332296,2,3,0.0
sub1,67,57,-0.7512832554322927,0.3465749998576939,2,3,1.0
sub1,68,58,-1.9371433748954594,0.5189000000245869,2,2,0.0
sub1,69,59,-1.272293123425285,0.7764649998862296,1,2,0.0
sub1,70,60,-1.7517322363918928,0.3392649998422712,2,3,1.0
sub1,71,61,-1.272293123425285,0.7043749999720603,2,2,0.0
sub1,72,62,-2.4088154318375707,0.6116100000217557,2,3,1.0
sub1,73,63,-2.840379993303737,0.3325149999000132,2,3,0.0
sub1,74,64,-0.8356272503591143,0.3610350000672042,2,2,0.0
sub1,75,65,-1.865528375559773,0.7622950000222772,2,3,1.0
sub1,76,66,-0.5488302095533095,0.8591750001069158,2,2,1.0
sub1,77,67,-2.4835554057661677,0.5408199999947101,2,3,1.0
sub1,78,68,-2.8894683344697447,0.392214999999851,2,3,0.0
sub1,79,69,-1.8977690241948983,0.373579999897629,2,3,1.0
sub1,80,70,-1.618763442534683,0.7760350001044571,2,2,0.0
sub1,81,71,-1.0631849057121365,0.40715500013902783,2,2,0.0
sub1,82,72,-2.504730686896535,0.6534899999387562,2,3,0.0
sub1,83,73,-1.6450778348519146,0.6458899998106062,2,3,1.0
sub1,84,74,-0.6982874174401835,0.6414550000336021,2,2,0.0
sub1,85,75,-0.45862701279480267,0.49025000003166497,2,2,0.0
sub1,86,76,-2.338766067696067,0.4437600001692772,1,3,0.0
sub1,87,77,-2.338766067696067,0.4288999999407679,1,3,0.0
sub1,88,78,-2.338766067696067,0.4261900000274181,2,3,0.0
sub1,89,79,-0.3012208606538468,0.3618700001388788,2,2,1.0
sub1,90,80,-1.4561365167308042,0.3417000002227724,2,2,0.0
sub1,91,81,-0.9563734419529117,0.3451199999544769,2,2,0.0
sub1,92,82,-1.5360742130874454,0.5021050001960248,2,3,0.0
sub1,93,83,-1.0088755864482832,0.5865700000431389,2,3,0.0
sub1,94,84,-0.628134896669136,0.2795250001363456,1,2,0.0
sub1,95,85,-0.6626176914236268,0.4098549999762327,2,3,0.0
sub1,96,86,-0.4351995537262253,0.5855350000783801,2,3,1.0
sub1,97,87,-0.628134896669136,0.6714200000278652,2,2,1.0
sub1,98,88,-1.6708498339605655,0.3759749999735504,2,2,1.0
sub1,99,89,-1.5441321561298207,0.45307000004686415,2,3,0.0
sub1,100,90,-1.014167949241161,0.4498250000178814,2,3,0.0
sub1,101,91,-2.355692815435959,0.4081250000745058,2,2,1.0
sub1,102,92,-2.805489679854545,0.537779999896884,2,2,0.0
sub1,103,93,-0.6660936534382679,0.576935000019148,2,3,0.0
sub1,104,94,-0.4374825249434457,0.48248000000603497,2,3,0.0
sub1,105,95,-1.8426128255541074,0.42278000013902783,2,2,0.0
sub1,106,96,-1.210206563680007,0.31370999990031123,2,2,1.0
sub1,107,97,-0.28733340821213854,0.6857799999415874,2,3,1.0
sub1,108,98,-2.053147700435518,0.5009700001683086,2,2,1.0
sub1,109,99,-1.4470154003114095,0.4207349999342114,2,3,1.0
sub1,110,100,-2.6067815850746494,0.29245500010438263,2,2,1.0
