subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,beta2,stickiness,beta1_stage1,w_hybrid
sub126,190,0.81954148,0.033754178,1.8664642,0.72861245,2.8480259,2.890736,2.59507665,0.7192327825846685
sub127,191,0.26744168,0.022848387,3.4111893,2.0808519,3.8024674,1.8144469,5.4920412,0.6211150236819054
sub128,188,0.017754,0.71167994,1.7234825,2.2705045,1.9666844,-0.13758362,3.9939869999999997,0.4315193063973418
sub129,191,0.37228822,0.38850199,2.2328614,2.8280268,3.2694122,0.91883901,5.0608882,0.44119951118461775
sub13,185,0.081161289,0.045556434,1.9439921,5.8161344,2.8476776,0.55929727,7.7601265,0.2505103621699981
sub130,189,0.86229059,0.033259572,6.8346758,2.5409925,3.128235,0.52299169,9.375668300000001,0.7289801197425041
sub131,191,0.72057574,0.36569279,1.7069827,1.6311844,3.0894513,2.108693,3.3381670999999997,0.5113532812662375
sub132,189,0.85845603,0.016052972,3.7760846,0.99618035,3.2456068,0.57176183,4.77226495,0.7912562775878568
sub133,191,0.95607038,0.030223952,3.9492675,1.8310253,3.1767452,0.95731976,5.7802928,0.6832296626911356
sub134,151,0.09313657,0.033867181,2.4482652,5.7987707,3.7203738,0.13519709,8.2470359,0.2968660776655525
sub135,189,0.99384939,0.054546147,4.7691414,1.1549392,2.8031411,0.34003591,5.9240806,0.8050433007275424
sub136,191,0.3935224,0.31815507,4.0308842,1.2030486,4.2609374,1.516323,5.2339328,0.7701444313537996
sub137,179,0.76350725,0.018823201,0.6334965,0.41479448,2.3326491,0.80943614,1.04829098,0.6043136038430856
sub138,190,0.85269539,0.10069763,1.6510275,4.4206363,1.8180445,1.2899564,6.0716638,0.2719234059039962
sub139,191,0.58142815,0.044401423,4.9769942,3.2239614,3.9679232,1.7672006,8.2009556,0.606879788496843
sub14,187,0.63912499,0.31857336,2.749073,2.9312823,3.8815081,0.97622838,5.6803553,0.48396145220000586
sub140,187,0.9835913,0.029008473,2.0265224,0.95463895,2.6030294,3.4815373,2.9811613500000003,0.6797761550209284
