subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,stickiness,vmod,a,Ter,z,beta1_stage1,w_hybrid
sub1,190,0.34321169,0.45837143,4.4602324,2.1698714,0.10760748,3.6662451,1.9165216,0.23207097,0.70952666,6.6301038,0.672724369714996
sub10,190,0.36846714,0.02967908,0.50061044,0.43878935,-0.065941798,1.0177521,2.2850445,0.36291056,0.79448756,0.93939979,0.5329045687779002
sub100,126,0.27345878,0.020265527,1.3479579,2.4590896,1.2567019,0.69934484,2.6837503,0.12704188,0.82946376,3.8070475,0.3540691047327358
sub101,191,0.79709515,0.0331014,1.3825961,3.1495234,2.228388,1.478913,2.1212288,0.19855868,0.74300253,4.5321195,0.3050661175196285
sub102,136,0.045953509,0.052906024,1.4392389,4.9871845,-0.4921926,0.8259407,3.0135352,0.11807724,0.76102361,6.4264234,0.2239564389735043
sub103,171,0.5717581,0.54585577,1.6121688,2.2446724,1.3935386,0.31596624,2.1677722,0.15016516,0.75102488,3.8568412,0.41800237977130095
sub104,191,0.69955337,0.019652754,6.4903685,2.8456161,1.7427326,2.3245308,1.9966011,0.31345449,0.76741978,9.3359846,0.6951991437518009
sub105,191,0.58413834,0.078902237,2.7494107,1.7497836,2.631085,2.1074234,2.0316601,0.24034905,0.72171339,4.4991943,0.6110895677477187
sub106,147,0.0024437327,0.41022909,2.0133086,2.0137171,0.88062503,1.8682332,2.7935553,0.12893699,0.81427723,4.027025699999999,0.4999492801846286
sub107,190,0.51812227,0.24301233,1.197496,1.1030917,0.66911583,1.5888453,2.3412106,0.25293313,0.74418744,2.3005877,0.5205174312633246
sub108,187,0.79830612,0.71775326,0.65654418,0.65274044,0.20266746,1.363,1.8338059,0.14902469,0.7611899,1.3092846200000001,0.5014526024142864
sub109,190,0.29594117,0.93756134,2.9722011,0.98803848,0.99376572,4.0646536,1.7079177,0.21728683,0.73908374,3.96023958,0.7505104274524724
sub11,180,0.76005468,0.071507608,0.81006416,1.2874843,-0.52811179,0.53746088,2.4383278,0.33476194,0.76846384,2.09754846,0.386195682935497
sub110,182,0.79944679,0.087630592,0.47886474,0.75513619,-0.29689833,0.86325109,2.6426969,0.12849265,0.74416035,1.23400093,0.38805865405628176
sub111,164,0.95282518,0.21937765,4.8927851,0.91720872,0.99251933,1.777707,1.8198568,0.13850029,0.75909211,5.80999382,0.8421325825093563
sub112,191,0.50938211,0.88424606,1.5349532,1.942971,-0.35157674,0.36999173,2.4326852,0.22994068,0.74758024,3.4779242,0.4413417635726506
sub113,161,0.33876122,0.73703217,1.47465,0.85031079,0.14515468,0.60040518,1.8097764,0.14133248,0.80460534,2.32496079,0.6342687611518816
sub114,190,0.59172639,0.33751215,1.985382,2.0550925,7.0284117,1.6881594,2.0411057,0.27659118,0.69702724,4.0404745,0.4913734760607943
sub115,189,0.34191283,0.28956679,4.2311516,2.9635858,0.82716776,2.3282014,2.4934349,0.32643879,0.74478401,7.194737399999999,0.5880897890727742
sub116,188,0.70337844,0.089639671,6.4327327,2.1740951,1.3990393,1.5155935,2.5572097,0.18266889,0.7646249,8.6068278,0.7473987919219204
sub117,189,0.51592861,0.8962404,2.5341705,1.8191294,1.1910222,2.6409648,1.6120191,0.26563903,0.75551091,4.3532999,0.5821263313377515
sub118,191,0.6751855,0.04463871,4.8166513,1.3215286,1.4696342,3.260182,2.0837101,0.25718511,0.73132035,6.1381799,0.7847035079568131
sub119,168,0.88008959,0.026549125,3.4786542,0.60690242,0.71704841,1.4388925,2.4490053,0.13727538,0.83886999,4.08555662,0.851451717244834
sub12,191,0.65049734,0.26573889,4.1480705,1.6983838,1.2823858,1.9604885,2.2070355,0.16438446,0.68333678,5.8464543,0.7095019112695364
sub120,188,0.78359631,0.24330122,1.5696894,1.5330051,0.031019542,0.90649679,1.879463,0.28974502,0.77277289,3.1026945,0.5059116841828932
sub121,77,0.0094583282,0.28201804,1.9501674,1.9441217,0.025336973,2.0064247,1.6402397,0.14419917,0.85157242,3.8942891,0.5007762263977782
sub122,190,0.74489138,0.017331676,2.2385573,2.2703293,1.7372441,2.4189898,1.886391,0.18432076,0.71379336,4.5088866,0.49647673552047195
sub123,177,0.48531861,0.78143486,2.3332463,1.4739578,1.7073078,1.8127472,1.9479703,0.1329897,0.74336687,3.8072041,0.6128503328728817
sub124,191,0.44521505,0.12187393,1.5572037,3.0322113,1.5165258,2.7818012,1.6082379,0.28951246,0.72991808,4.589415000000001,0.339303309898974
sub125,187,0.13677926,0.083020747,2.0432408,2.9521839,3.0353493,2.1915633,2.3454544,0.16131668,0.72303602,4.9954247,0.4090224400740141
sub126,190,0.67321086,0.034674479,2.2057074,1.02286,2.8018348,1.8944189,2.0258406,0.32785621,0.74157011,3.2285674,0.683184560433832
sub127,165,0.2216818,0.033958764,2.4879705,1.9235035,1.7569063,2.0189197,2.0729675,0.13572611,0.78493104,4.411474,0.5639771423338321
sub128,175,0.018035146,0.62688459,1.6919992,2.1798225,-0.065354749,1.8117374,1.8855971,0.15757829,0.79266083,3.8718217,0.4370033878367901
sub129,191,0.33486539,0.37598842,2.2750892,3.1132706,0.91709249,2.1093149,2.1166903,0.2089847,0.72286409,5.3883598,0.4222229554900918
sub13,180,0.080753934,0.047652375,2.1051182,5.67601,0.53515412,1.3610299,2.4316398,0.25206629,0.71700622,7.7811281999999995,0.2705415135044299
sub130,189,0.85775836,0.035569979,6.8781749,2.5636155,0.52063965,1.8021006,2.5604051,0.22396991,0.72193804,9.4417904,0.7284820578097138
sub131,191,0.77096417,0.29844704,1.6452601,1.5941846,2.125498,2.2153232,1.4391605,0.30015897,0.73007442,3.2394447,0.5078833727274308
sub132,189,0.87702582,0.015571977,3.7275441,0.95101714,0.57628344,1.5659977,2.2554693,0.25589919,0.7849384,4.67856124,0.7967287182501431
sub133,191,0.94541175,0.032922945,3.9668466,1.8603507,0.95380115,1.7011385,2.2723273,0.25435716,0.75960305,5.8271973,0.6807469175618954
sub134,136,0.09647089,0.040836069,2.207552,5.2409609,0.15350548,2.0686605,2.2237469,0.14614585,0.76653727,7.448512900000001,0.2963748643034504
sub135,189,0.99568107,0.053141175,4.7658039,1.1533847,0.34021531,1.7504044,1.917002,0.3100535,0.79094421,5.9191886,0.8051447963661776
sub136,191,0.34418411,0.42389082,3.9853963,1.2304769,1.5089705,3.3265933,1.7489386,0.24465595,0.75121391,5.2158732,0.7640899514198314
sub137,179,0.35474401,0.0088876059,1.0142563,2.3955328,0.69454619,1.0236756,2.7000603,0.23920096,0.7397624,3.4097891,0.29745426190728336
sub138,187,0.82511173,0.12546553,1.7995416,4.3748353,1.2700368,0.78483596,2.4153057,0.15287503,0.75085026,6.1743769,0.2914531505195285
sub139,191,0.59514106,0.033050974,4.9000686,3.2276028,1.7688684,2.9558573,1.8856578,0.27098807,0.75864612,8.1276714,0.602887144280956
sub14,186,0.62618795,0.34555564,2.7777684,2.9300519,0.96900861,1.55049,2.5756758,0.13878834,0.74663385,5.7078203,0.4866601003538951
sub140,180,0.28430616,0.33329768,3.0487474,2.2764703,2.8282476,2.0469648,2.2911506,0.14514312,0.76898556,5.3252177,0.5725113172368521
sub141,165,0.14003975,0.84175809,1.514137,2.4536861,0.74121674,2.0008073,2.0604907,0.14796976,0.7391584,3.9678231000000004,0.3816039580998457
sub142,191,0.5247215,0.24753192,0.80756524,0.44659605,1.4648232,1.123756,2.1541027,0.31093926,0.78587493,1.2541612899999999,0.6439085996666346
sub143,190,0.36854108,0.48594555,10.453841,2.4807083,1.9032765,3.6373601,2.0911212,0.26401281,0.72410547,12.9345493,0.8082106888718573
sub144,143,0.36366504,0.33290288,1.2419339,2.8576404,1.3431045,1.5299094,2.2708052,0.13498595,0.82128508,4.0995743000000004,0.302942161580045
sub145,191,0.54615497,0.32006337,3.0033432,2.9738325,2.0385385,2.3159483,1.9303583,0.21589197,0.69770576,5.9771757,0.502468615737697
sub146,159,0.078319765,0.04754296,3.0977726,2.2326115,0.1392672,1.1247007,2.7935848,0.133231,0.8050798,5.3303841,0.5811537296158451
sub147,170,0.55799968,0.08852129,2.2697437,1.9287341,0.84972881,1.2718962,1.4524359,0.14626535,0.77252733,4.1984778,0.540611099575184
sub148,191,0.24411496,0.58358563,2.4941325,2.9021997,1.8968697,2.2162384,2.1574676,0.3457673,0.71518708,5.3963322,0.46219031882433037
sub149,191,0.64438323,0.17575418,3.410639,2.2527557,0.75140491,1.9855164,1.6010252,0.23464161,0.81749945,5.6633947,0.6022251989606164
sub15,190,0.55379818,0.03313632,2.2980684,0.57856354,0.43965517,0.44603948,2.2662746,0.35173811,0.75155598,2.87663194,0.79887467285787
sub150,190,0.27323391,0.947085,3.9516158,2.0778205,0.90894575,2.8350051,2.2695495,0.24803971,0.73501783,6.0294363,0.6553872706143358
sub151,188,0.37062366,0.20353334,1.8622469,1.3826798,3.6460163,1.8822108,1.8094216,0.18837911,0.79036296,3.2449266999999997,0.5738949049295936
sub16,191,0.47740864,0.049337448,2.3767858,1.1856257,3.335775,2.7737514,2.0948382,0.23884933,0.65329462,3.5624114999999996,0.6671845181276784
sub17,73,0.023096619,0.31275012,2.1848154,1.9092144,1.1283123,1.8907715,2.2149126,0.14653692,0.91634094,4.0940298,0.5336588903187759
sub18,169,0.32375243,0.18115756,1.313128,0.88492372,0.56742314,1.4380928,2.7141187,0.21734097,0.69141618,2.19805172,0.5974054150099799
sub19,191,0.76476528,0.022554092,2.9516078,1.5984366,1.0318044,1.5449081,1.8802625,0.35812692,0.79956821,4.5500444,0.6486986808304552
sub2,191,0.63413941,0.22660789,1.1299794,1.9761825,0.4265912,1.7055102,1.7804845,0.25939773,0.76165423,3.1061619,0.3637863821586377
sub20,104,0.003072063,0.24305275,1.9890572,1.9745073,0.15351118,1.937671,2.3454934,0.12795255,0.80649212,3.9635645,0.5018354564433101
