subject_id,alpha,lambda,beta_mb,beta_mf,stickiness,vmod,a,Ter,z,beta2_rl,beta_equiv_ddm
sub117,0.51592861,0.8962404,2.5341705,1.8191294,1.1910222,2.6409648,1.6120191,0.26563903,0.75551091,4.0015452,8.51457140005536
sub118,0.6751855,0.04463871,4.8166513,1.3215286,1.4696342,3.260182,2.0837101,0.25718511,0.73132035,4.4088974,13.586548322476398
sub119,0.88008959,0.026549125,3.4786542,0.60690242,0.71704841,1.4388925,2.4490053,0.13727538,0.83886999,3.1221322,7.047710717260499
sub12,0.65049734,0.26573889,4.1480705,1.6983838,1.2823858,1.9604885,2.2070355,0.16438446,0.68333678,3.7204068,8.6537354336835
sub120,0.78359631,0.24330122,1.5696894,1.5330051,0.031019542,0.90649679,1.879463,0.28974502,0.77277289,1.1549829,3.4074543528475405
sub121,0.0094583282,0.28201804,1.9501674,1.9441217,0.025336973,2.0064247,1.6402397,0.14419917,0.85157242,1.1991224,6.58203489600118
sub122,0.74489138,0.017331676,2.2385573,2.2703293,1.7372441,2.4189898,1.886391,0.18432076,0.71379336,4.7899866,9.126321175623598
sub123,0.48531861,0.78143486,2.3332463,1.4739578,1.7073078,1.8127472,1.9479703,0.1329897,0.74336687,2.5107727,7.06235541401632
sub124,0.44521505,0.12187393,1.5572037,3.0322113,1.5165258,2.7818012,1.6082379,0.28951246,0.72991808,4.2197404,8.94759624021096
sub125,0.13677926,0.083020747,2.0432408,2.9521839,3.0353493,2.1915633,2.3454544,0.16131668,0.72303602,3.9198968,10.28042356972704
sub126,0.67321086,0.034674479,2.2057074,1.02286,2.8018348,1.8944189,2.0258406,0.32785621,0.74157011,2.8480259,7.67558144205468
sub127,0.2216818,0.033958764,2.4879705,1.9235035,1.7569063,2.0189197,2.0729675,0.13572611,0.78493104,3.8024674,8.3703098464195
sub128,0.018035146,0.62688459,1.6919992,2.1798225,-0.065354749,1.8117374,1.8855971,0.15757829,0.79266083,1.9666844,6.83241357480308
sub129,0.33486539,0.37598842,2.2750892,3.1132706,0.91709249,2.1093149,2.1166903,0.2089847,0.72286409,3.2694122,8.929532776950941
sub13,0.080753934,0.047652375,2.1051182,5.67601,0.53515412,1.3610299,2.4316398,0.25206629,0.71700622,2.8476776,6.61906894766004
sub130,0.85775836,0.035569979,6.8781749,2.5636155,0.52063965,1.8021006,2.5604051,0.22396991,0.72193804,3.128235,9.22821513390612
sub131,0.77096417,0.29844704,1.6452601,1.5941846,2.125498,2.2153232,1.4391605,0.30015897,0.73007442,3.0894513,6.3764112883471995
sub132,0.87702582,0.015571977,3.7275441,0.95101714,0.57628344,1.5659977,2.2554693,0.25589919,0.7849384,3.2456068,7.06411947244122
sub133,0.94541175,0.032922945,3.9668466,1.8603507,0.95380115,1.7011385,2.2723273,0.25435716,0.75960305,3.1767452,7.731086909262101
sub134,0.09647089,0.040836069,2.207552,5.2409609,0.15350548,2.0686605,2.2237469,0.14614585,0.76653727,3.7203738,9.2003547480549
sub135,0.99568107,0.053141175,4.7658039,1.1533847,0.34021531,1.7504044,1.917002,0.3100535,0.79094421,2.8031411,6.7110574712176
sub136,0.34418411,0.42389082,3.9853963,1.2304769,1.5089705,3.3265933,1.7489386,0.24465595,0.75121391,4.2609374,11.63601485774276
sub137,0.35474401,0.0088876059,1.0142563,2.3955328,0.69454619,1.0236756,2.7000603,0.23920096,0.7397624,2.3326491,5.52797169527736
sub138,0.82511173,0.12546553,1.7995416,4.3748353,1.2700368,0.78483596,2.4153057,0.15287503,0.75085026,1.8180445,3.7912375355059442
sub139,0.59514106,0.033050974,4.9000686,3.2276028,1.7688684,2.9558573,1.8856578,0.27098807,0.75864612,3.9679232,11.14747074686388
sub14,0.62618795,0.34555564,2.7777684,2.9300519,0.96900861,1.55049,2.5756758,0.13878834,0.74663385,3.8815081,7.9871191422839996
sub140,0.28430616,0.33329768,3.0487474,2.2764703,2.8282476,2.0469648,2.2911506,0.14514312,0.76898556,2.6030294,9.37980925939776
sub141,0.14003975,0.84175809,1.514137,2.4536861,0.74121674,2.0008073,2.0604907,0.14796976,0.7391584,2.7535793,8.245289668284219
sub142,0.5247215,0.24753192,0.80756524,0.44659605,1.4648232,1.123756,2.1541027,0.31093926,0.78587493,1.7631701,4.8413716674824006
sub143,0.36854108,0.48594555,10.453841,2.4807083,1.9032765,3.6373601,2.0911212,0.26401281,0.72410547,5.9460021,15.212321634288239
sub144,0.36366504,0.33290288,1.2419339,2.8576404,1.3431045,1.5299094,2.2708052,0.13498595,0.82128508,3.9489632,6.948252442097759
sub145,0.54615497,0.32006337,3.0033432,2.9738325,2.0385385,2.3159483,1.9303583,0.21589197,0.69770576,3.7366222,8.94122004655178
sub146,0.078319765,0.04754296,3.0977726,2.2326115,0.1392672,1.1247007,2.7935848,0.133231,0.8050798,1.5960181,6.28389356013872
sub147,0.55799968,0.08852129,2.2697437,1.9287341,0.84972881,1.2718962,1.4524359,0.14626535,0.77252733,1.6603481,3.69469540390716
sub148,0.24411496,0.58358563,2.4941325,2.9021997,1.8968697,2.2162384,2.1574676,0.3457673,0.71518708,5.4699167,9.56292508375168
sub149,0.64438323,0.17575418,3.410639,2.2527557,0.75140491,1.9855164,1.6010252,0.23464161,0.81749945,3.5667724,6.35772358282656
sub15,0.55379818,0.03313632,2.2980684,0.57856354,0.43965517,0.44603948,2.2662746,0.35173811,0.75155598,0.6487378,2.021695888242416
sub150,0.27323391,0.947085,3.9516158,2.0778205,0.90894575,2.8350051,2.2695495,0.24803971,0.73501783,5.4872695,12.868368814404901
sub151,0.37062366,0.20353334,1.8622469,1.3826798,3.6460163,1.8822108,1.8094216,0.18837911,0.79036296,2.466409,6.81142575454656
sub16,0.47740864,0.049337448,2.3767858,1.1856257,3.335775,2.7737514,2.0948382,0.23884933,0.65329462,6.1259212,11.62112078004696
sub17,0.023096619,0.31275012,2.1848154,1.9092144,1.1283123,1.8907715,2.2149126,0.14653692,0.91634094,0.72667644,8.3757872381418
sub18,0.32375243,0.18115756,1.313128,0.88492372,0.56742314,1.4380928,2.7141187,0.21734097,0.69141618,2.2286532,7.80630912163072
sub19,0.76476528,0.022554092,2.9516078,1.5984366,1.0318044,1.5449081,1.8802625,0.35812692,0.79956821,1.9380421,5.8096655327525
sub2,0.63413941,0.22660789,1.1299794,1.9761825,0.4265912,1.7055102,1.7804845,0.25939773,0.76165423,2.567421,6.0732689513838
sub20,0.003072063,0.24305275,1.9890572,1.9745073,0.15351118,1.937671,2.3454934,0.12795255,0.80649212,1.9664156,9.0895890837428
sub21,0.43795342,0.3264727,2.975757,2.2744824,0.24807342,1.9765608,2.2377547,0.20189299,0.73117518,4.3798636,8.846116440071519
sub22,0.58952374,0.7720877,6.0307037,0.75028396,0.88839469,1.306454,2.5542139,0.30140076,0.79376236,2.7923414,6.6739259330212
sub23,0.48761997,0.016024973,3.209102,2.1303281,2.2311511,1.3512763,2.4370388,0.22797509,0.72364118,2.7559172,6.58622554524088
sub24,0.54581126,0.16874605,1.0200889,1.763493,0.37972265,1.3836195,1.6140392,0.19867882,0.76726498,1.7392946,4.4664322217688
sub25,0.26913201,0.10028826,0.91191629,2.0535809,0.19527863,0.71661823,2.7025398,0.12212342,0.73589763,1.2109791,3.873378575961108
sub26,0.38905013,0.014228872,0.85975262,2.8573324,0.089384535,0.53214513,2.5416055,0.1252778,0.76059805,0.91787807,2.70500597841243
sub27,0.45723271,0.39061,3.6345076,3.4849269,2.0965661,2.6556005,2.518684,0.29568123,0.67952164,6.0519716,13.377236979483998
sub28,0.16807766,0.87026667,2.7715798,2.8286346,0.12098505,2.0174045,1.7047181,0.13765511,0.71049911,2.727929,6.8782119323429
sub29,0.04850017,0.09359201,1.3495694,1.5612603,0.090829198,1.1869874,2.3452892,0.27002965,0.80567503,1.0557689,5.5676574595121595
sub3,0.54864166,0.87414357,0.93101007,0.61893198,0.59516307,0.92912469,2.2972832,0.24816743,0.75193201,1.702807,4.268925082084416
sub30,0.79935969,0.22754236,1.4969105,0.47117647,-0.20644227,0.82758947,2.3300176,0.19961546,0.75685811,1.5358076,3.8565960613493444
sub31,0.24425721,0.029400635,2.2835981,0.91410882,-0.32682243,1.0821332,2.1518467,0.12839288,0.71090274,1.5795065,4.6571695107608795
sub32,0.15876113,0.8277209,3.406408,2.1086336,0.80054365,1.3631191,2.7801553,0.17092231,0.76951809,2.0341675,7.5793655807924605
sub33,0.14673111,0.77510974,1.2247423,1.8538239,0.75622747,1.6785388,1.8357948,0.17946821,0.71616304,2.0757991,6.1629056012764805
sub34,0.28495622,0.15804574,2.2097776,1.6523661,1.7450729,2.5259809,2.1942993,0.28937039,0.75476896,4.1072416,11.08551624136674
sub35,0.4390695,0.08675676,4.2439675,2.3766868,1.1201081,2.1584808,2.1677423,0.2784819,0.79815079,4.231071,9.35806026779568
sub36,0.5701277,0.096470986,3.1549187,1.6681914,0.34627452,1.39592,2.6987996,0.22170235,0.79784268,3.284029,7.534616675264001
sub37,0.4607667,0.047406812,0.69834003,1.2382496,0.06865044,1.1682636,2.1214639,0.29089763,0.71565923,2.0359835,4.95685810616808
sub38,0.64739803,0.096199287,0.55360674,0.72343911,0.1955516,0.29669877,2.6554758,0.12586142,0.77463214,0.45808964,1.575752807249532
sub39,0.29131576,0.42052682,1.0906256,3.3774855,0.38156203,2.9736255,1.5460553,0.14159453,0.69221931,5.0865357,9.194778928980298
sub4,0.49133158,0.19157941,1.8930459,1.9573994,1.0902812,0.94522337,2.5605999,0.17419449,0.72816696,1.7047095,4.8406777333993265
sub40,0.55884439,0.05685889,2.2317253,0.5592438,0.13306271,1.5165712,2.0089205,0.15315822,0.76619725,1.99714,6.0933419467792
sub41,0.098588662,0.1481418,1.5705523,1.6742902,-0.025585257,1.19312,2.3370874,0.12813782,0.7928681,2.3310097,5.576851437376
sub42,0.4896362,0.17301705,2.5965704,1.0448492,1.578594,1.2836587,2.6937625,0.15380002,0.7063458,3.0444561,6.9157433377175
sub43,0.50878649,0.069829796,1.9604009,1.4162082,0.75981226,1.3160344,1.8058889,0.19144306,0.78850081,2.3138049,4.75322382995632
sub44,0.041347035,0.048922429,1.5186763,2.6028391,-0.56113842,1.4460708,2.3691146,0.39482833,0.7534832,2.6502345,6.85181488982736
sub45,0.2139624,0.13563937,1.2216153,1.310487,0.14230551,0.49117271,2.8439354,0.28609311,0.75295041,0.90328601,2.793726914965868
sub46,0.01672199,0.84139217,1.913928,2.6543872,0.016267467,1.7007344,2.3398163,0.16074405,0.78999867,2.0254191,7.958812142181439
sub47,0.49038815,0.022756949,2.738635,1.574653,0.62366489,1.5419562,2.3985333,0.12625461,0.67884607,3.3559713,7.39686658568292
sub48,0.45207393,0.33346394,0.8972523,0.92509557,0.57990216,0.70000964,2.0590171,0.12798989,0.74530581,0.8528978,2.882663637849688
sub49,0.57133285,0.083868128,2.531155,1.364343,1.6505469,1.4997307,2.1717634,0.30210408,0.77586374,3.6944806,6.51412048823276
sub5,0.34647747,0.092713045,2.161659,3.6647539,0.74092969,1.4096821,2.5408894,0.14162204,0.79082119,2.4932553,7.1636926105194805
sub50,0.69488945,0.077987024,4.5946533,1.5958805,1.2330777,2.0183215,2.0042779,0.18742565,0.71557825,3.383538,8.090554355089699
sub51,0.03359449,0.82000067,2.0469203,2.5177618,-0.11427048,1.3406804,2.0091638,0.12900125,0.7969408,1.2261939,5.3872930540990405
sub52,0.03602541,0.39481653,2.3473329,5.8229825,1.0418106,2.7597428,2.7673495,0.09982961,0.66863536,8.5137255,15.2743457154172
sub53,0.64870011,0.14482624,4.6528666,1.7778132,1.0867893,1.339301,2.0201878,0.13941603,0.7309223,2.255283,5.4112790814556
sub54,0.58514286,0.086936424,2.8676393,1.5712343,0.88997349,1.3617946,1.8614668,0.30445741,0.7974024,2.1823266,5.06987087263856
sub55,0.8988841,0.35001281,3.5094206,0.66920169,0.47907779,1.3129281,2.050512,0.35450728,0.77012465,2.3048891,5.3843496483744
sub56,0.57705543,0.016237264,3.3917492,2.0203142,0.86462256,1.8912734,2.1426897,0.21741193,0.75835459,4.3485907,8.10482406812796
sub57,0.84805167,0.094423021,2.2473547,0.37978736,-0.16053483,1.5269884,2.1909345,0.21265086,0.74688116,2.3678682,6.6910631333196005
sub58,0.56037605,0.66105978,2.3980946,0.86284667,0.15243414,1.347956,2.5185468,0.13086121,0.76206651,3.0355742,6.7897805406816
sub59,0.54092162,0.17609433,3.9769234,1.0560415,0.57625229,2.2797391,1.7787465,0.16401127,0.73861892,3.0062778,8.1101558900763
sub6,0.6910929,0.44903862,2.7109671,1.4841585,1.3825049,1.4157509,2.4769328,0.25655682,0.78205527,2.9993909,7.01343968167904
